Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,170.58958435058594,121465900
2015-01-05,204.1699981689453,204.3699951171875,201.3500061035156,201.72000122070312,167.5087890625,169632600
2015-01-06,202.08999633789065,202.72000122070312,198.8600006103516,199.82000732421875,165.93106079101562,209151400
2015-01-07,201.4199981689453,202.72000122070312,200.8800048828125,202.3099975585937,167.998779296875,125346700
2015-01-08,204.009994506836,206.1600036621093,203.9900054931641,205.8999938964844,170.97988891601562,147217800
2015-01-09,206.3999938964844,206.4199981689453,203.509994506836,204.25,169.60971069335938,158567300
2015-01-12,204.4100036621093,204.6000061035156,201.9199981689453,202.6499938964844,168.28111267089844,144396100
2015-01-13,204.1199951171875,205.47999572753903,200.509994506836,202.0800018310547,167.80775451660156,214553300
2015-01-14,199.6499938964844,201.1000061035156,198.57000732421875,200.8600006103516,166.794677734375,192991100
2015-01-15,201.6300048828125,202.009994506836,198.8800048828125,199.0200042724609,165.26675415039062,176613900
2015-01-16,198.7700042724609,201.82000732421875,198.5500030517578,201.6300048828125,167.43408203125,211879600
2015-01-20,202.3999938964844,202.72000122070312,200.1699981689453,202.0599975585937,167.79115295410156,130991100
2015-01-21,201.5,203.6600036621093,200.94000244140625,203.0800018310547,168.63816833496094,122942700
2015-01-22,203.9900054931641,206.259994506836,202.3300018310547,206.1000061035156,171.1459503173828,174356000
2015-01-23,205.7899932861328,206.1000061035156,204.8099975585937,204.97000122070312,170.20762634277344,117516800
2015-01-26,204.7100067138672,205.5599975585937,203.8500061035156,205.4499969482422,170.60623168945312,92009700
2015-01-27,202.97000122070312,204.1199951171875,201.7400054931641,202.7400054931641,168.3558349609375,134044600
2015-01-28,204.1699981689453,204.2899932861328,199.9100036621093,200.13999938964844,166.19677734375,168514300
2015-01-29,200.3800048828125,202.3000030517578,198.67999267578125,201.9900054931641,167.7330780029297,173585400
2015-01-30,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,165.62376403808594,197729700
2015-02-02,200.0500030517578,202.02999877929688,197.8600006103516,201.9199981689453,167.6748809814453,163107000
2015-02-03,203.0,204.8500061035156,202.5500030517578,204.83999633789065,170.0996856689453,124212900
2015-02-04,203.9199981689453,205.3800048828125,203.509994506836,204.0599975585937,169.45193481445312,134306700
2015-02-05,204.8600006103516,206.3000030517578,204.7700042724609,206.1199951171875,171.16262817382812,97953200
2015-02-06,206.5599975585937,207.2400054931641,204.9199981689453,205.5500030517578,170.6892547607422,125672000
2015-02-09,204.7700042724609,205.63999938964844,204.13999938964844,204.6300048828125,169.92532348632812,87219000
2015-02-10,205.8800048828125,207.1199951171875,204.67999267578125,206.8099975585937,171.73556518554688,96164200
2015-02-11,206.6100006103516,207.4499969482422,205.8300018310547,206.92999267578125,171.83523559570312,91087800
2015-02-12,207.88999938964844,208.9900054931641,206.97000122070312,208.9199981689453,173.48773193359375,97545900
2015-02-13,209.07000732421875,209.83999633789065,208.759994506836,209.77999877929688,174.20187377929688,93670400
2015-02-17,209.3999938964844,210.32000732421875,209.1000061035156,210.1100006103516,174.47592163085938,76968200
2015-02-18,209.6600036621093,210.22000122070312,209.33999633789065,210.1300048828125,174.4925079345703,80652900
2015-02-19,209.4100036621093,210.4199981689453,209.2400054931641,209.97999572753903,174.36795043945312,91462500
2015-02-20,209.47999572753903,211.3300018310547,208.72999572753903,211.2400054931641,175.41427612304688,140896400
2015-02-23,210.94000244140625,211.2100067138672,210.47999572753903,211.2100067138672,175.38934326171875,74411100
2015-02-24,211.1199951171875,212.0500030517578,210.759994506836,211.8099975585937,175.8875732421875,72472300
2015-02-25,211.6600036621093,212.2400054931641,211.22000122070312,211.6300048828125,175.73814392089844,73061700
2015-02-26,211.5200042724609,211.7100067138672,210.6499938964844,211.3800048828125,175.53048706054688,72697900
2015-02-27,211.259994506836,211.5800018310547,210.6000061035156,210.6600036621093,174.9326171875,108076000
2015-03-02,210.77999877929688,212.0599975585937,210.72000122070312,211.9900054931641,176.03707885742188,87491400
2015-03-03,211.47000122070312,212.0500030517578,210.0800018310547,211.1199951171875,175.3145751953125,110325800
