Date,Equity,Cash
2020-02-11,1000000.0,1000000.0
2020-02-12,1000000.0,1000000.0
2020-02-13,1000000.0,1000000.0
2020-02-14,1000000.0,1000000.0
2020-02-18,1000000.0,1000000.0
2020-02-19,1000000.0,1000000.0
2020-02-20,974610.6615000002,108.23150000011083
2020-02-21,941937.1015000001,108.23150000011083
2020-02-24,904787.5215,108.23150000011083
2020-02-25,881573.4915000001,108.23150000011083
2020-02-26,888707.0815000002,108.23150000011083
2020-02-27,845322.3515999999,11666.191600000078
2020-02-28,851191.5815999999,11666.191600000078
2020-03-02,890055.4716,11666.191600000078
2020-03-03,854501.8116000001,11666.191600000078
2020-03-04,894345.5016000001,11666.191600000078
2020-03-05,846902.5446000001,2326.5246000000916
2020-03-06,827292.6046000001,2326.5246000000916
2020-03-09,752135.3246000002,2326.5246000000916
2020-03-10,784396.2646000001,2326.5246000000916
2020-03-11,736557.8246,2326.5246000000916
2020-03-12,711153.4458819825,529410.2071734864
2020-03-13,830413.5580183845,32458.29344242625
2020-03-16,644025.2512604576,32458.29344242625
2020-03-17,720039.6866623741,32458.29344242625
2020-03-18,649516.524670301,32458.29344242625
2020-03-19,649124.2694804053,32458.29344242625
2020-03-20,593192.1147763114,32458.29344242625
2020-03-23,561029.1043965202,32458.29344242625
2020-03-24,660891.2069804053,32458.29344242625
2020-03-25,676972.712170301,32458.29344242625
2020-03-26,752908.6247145515,32458.29344242625
2020-03-27,708351.212170301,32458.29344242625
2020-03-30,752359.503358541,32458.29344242625
2020-03-31,729923.930920301,32458.29344242625
2020-04-01,667166.930920301,32458.29344242625
2020-04-02,696976.4700104576,32458.29344242625
2020-04-03,677992.4918743949,32458.29344242625
2020-04-06,765224.743420301,32458.29344242625
2020-04-07,765930.7309424262,32458.29344242625
2020-04-08,815273.4293743949,32458.29344242625
2020-04-09,838571.9752003532,32458.29344242625
2020-04-13,823667.1757304053,32458.29344242625
2020-04-14,870970.2549044472,32458.29344242625
2020-04-15,834963.454882322,32458.29344242625
2020-04-16,843200.2752224784,32458.29344242625
2020-04-17,886581.0418965202,32458.29344242625
2020-04-20,856379.247616468,32458.29344242625
2020-04-21,805467.6481243949,32458.29344242625
2020-04-22,840533.1314503532,32458.29344242625
2020-04-23,840062.4132525305,32458.29344242625
2020-04-24,863204.0929123741,32458.29344242625
2020-04-27,887051.7600943426,32458.29344242625
2020-04-28,878736.4168965202,32458.29344242625
2020-04-29,922901.6939503532,32458.29344242625
2020-04-30,905565.079882322,32458.29344242625
2020-05-01,859360.243420301,32458.29344242625
2020-05-04,864694.5309645515,32458.29344242625
2020-05-05,879756.2564503532,32458.29344242625
2020-05-06,868146.185116468,32458.29344242625
2020-05-07,888150.0028063636,32458.29344242625
2020-05-08,916469.1038443426,32458.29344242625
2020-05-11,917175.091366468,32458.29344242625
2020-05-12,880776.0361544472,32458.29344242625
